year_built,no_of_units_sd
1805,NA
1809,NA
1838,NA
1880,NA
1885,6.363961030678928
1888,NA
1890,NA
1891,NA
1895,NA
1896,NA
1897,NA
1898,NA
1900,21.56920882255001
1901,NA
1902,NA
1903,NA
1904,NA
1905,4.163331998932265
1907,4.242640687119285
1909,NA
1910,12.562226069034253
1911,5.787918451395113
1912,11.372481406154654
1913,5.291502622129181
1914,1.7320508075688772
1915,9.591663046625438
1916,2.1213203435596424
1917,13.421065531469548
1918,5.792544469278715
1919,4.242640687119285
1920,12.060333156524852
1921,2.1213203435596424
1922,13.051181300301263
1923,10.417666618671273
1924,0.7071067811865476
1925,6.34277299221478
1926,11.762807333440277
1927,11.992917299784782
1928,14.349847687518176
1929,17.97798361154115
1930,12.09020214777644
1931,15.575978656608102
1932,8.19298480408697
1933,NA
1934,16.004463663080283
1935,10.01332445627658
1936,NA
1937,25.181562920341364
1938,9.605615916892427
1939,8.848728722251575
1940,11.600196746804105
1941,24.219236746260783
1943,3.5
1944,9.0737717258774655
1945,9.12449506857285
1947,9.300537618869138
1948,22.151668753649883
1949,10.549684039502479
1950,21.149328316496725
1951,20.670664074391837
1952,26.134533186663056
1953,20.140886215175737
1954,25.789003419450335
1955,29.244954574065936
1956,27.495267338714807
1957,45.92267931259591
1958,25.070876043954378
1959,47.84805054928401
1960,45.626748004236106
1961,45.66164865827876
1962,54.57697175748463
1963,52.97879674916888
1964,93.09285787154005
1965,82.55837011567831
1966,118.81819436301964
1967,95.13892059856947
1968,114.84282205416133
1969,119.80407574726566
1970,119.24166381514846
1971,132.33186782949616
1972,116.52487245922796
1973,136.12000390164877
1974,102.41974056862945
1975,127.73505683540735
1976,179.06460985611864
1977,126.72331553940144
1978,118.20316537256339
1979,111.11170055399207
1980,108.52867332863207
1981,85.95319878254898
1982,73.72557579507799
1983,61.10981528207661
1984,94.54669176167363
1985,106.4177957521544
1986,78.9886067733822
1987,76.6436977856393
1988,59.50813542548768
1989,71.22970585135808
1990,68.44293898888253
1991,64.96254203871541
1992,49.588752731471295
1993,65.64993509893688
1994,52.023529475109804
1995,52.86655584840692
1996,45.98583444602228
1997,54.27936993002037
1999,NA
2000,NA
2001,86.97413408594535
2002,7.767453465154029
2003,109.06221466056274
2004,21.213203435596427
2005,117.66902736064405
2006,95.92914051527825
2007,105.23054056055527
2008,83.6019005631916
2009,59.25715749414339
2010,102.99271818920015
2011,73.73465942146882
2012,113.62197138296969
2013,141.17565890289538
2014,121.74666319862733
2015,85.8894638474359
2016,1415.9680182021868
2017,113.07991274610477
2018,179.4739999739981
2019,164.05883091135325
NA,68.48947139749068
